,,,,,
,,,خودپرداز سالنی,خودپرداز شعبه,جمع
,1,تهران,334,257,591
,2,کرج,0,12,12
,3,آذربايجان شرقي,39,14,53
,4,آذربايجان غربي,14,2,16
,5,اردبيل,6,3,9
,6,اصفهان,20,12,32
,7,ايلام,0,1,1
,8,بوشهر,0,1,1
,9,چهارمحال و بختياري,0,1,1
,10,خراسان جنوبي,0,2,2
,11,خراسان رضوي,60,14,74
,12,خراسان شمالي,0,1,1
,13,خوزستان,38,14,52
,14,زنجان,0,2,2
,15,سمنان,5,3,8
,16,سيستان و بلوچستان,0,1,1
,17,فارس,53,15,68
,18,قزوين,0,2,2
,19,قم,9,2,11
,20,كردستان,0,1,1
,21,كرمان,5,6,11
,22,كرمانشاه,0,3,3
,23,كهكيلويه و بويراحمد,0,1,1
,24,گلستان,0,3,3
,25,گيلان,11,8,19
,26,لرستان,0,2,2
,27,مازندران,14,14,28
,28,مركزي,0,3,3
,29,هرمزگان,0,2,2
,30,همدان,5,2,7
,31,يزد,0,4,4
,32,مناطق آزاد,5,2,7
,,,618,410,1028
,,,,,
,ردیف,کد شعبه,نام دستگاه,تعداد ماشین,
,1,۱,سالنی ,9,
,2,۱,سالنی 951 مشهد ,3,
,3,۱,سالنی اصفهان ,1,
,4,۱,سالنی شیراز ,2,
,5,۱,سالنی تبریز ,2,
,6,۱,سالنی اهواز ,1,
,7,۱,سالنی رشت ,1,
,8,۱,سالنی کیش ,0,
,9,۱,سالنی ارومیه ,1,
,10,۱,سالنی قم ,1,
,11,۱,سالنی ساری ,0,
,12,۱,سالنی اردبیل ,0,
,13,۱,سالنی آبادان ,0,
,14,۱,سالنی سمنان ,0,
,15,۱,سالنی دزفول ,1,
,16,۱,سالنی مرند ,0,
,17,۱,سالنی کرمان ,0,
,18,۱,سالنی جهرم ,0,
,19,۱,سالنی همدان ,0,
,20,۱,سالنی آمل ,0,
,,,,22,